Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.01,0.01,0,42500,1,G5040,38.9203436,1040,,10,23389,Block 1040,R,S,-75.4261301,100010425001040,00b40000000000001497,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,42802,1,G5040,39.0109466,1040,,10,11657,Block 1040,R,S,-75.5729195,100010428021040,00b400000000000015a9,
0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0,43100,1,G5040,38.9078617,1040,,10,70028,Block 1040,R,S,-75.688743,100010431001040,00b40000000000001804,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.05,0.0,0.01,0.0,0,42100,1,G5040,39.0413236,1040,,10,52086,Block 1040,R,S,-75.5572334,100010421001040,00b40000000000002068,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0,43400,1,G5040,38.9992402,1040,,10,18142,Block 1040,R,S,-75.4837573,100010434001040,00b400000000000020c6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.09,0.02,0.04,0.0,0,43000,1,G5040,38.9199257,1040,,10,91002,Block 1040,R,S,-75.5843462,100010430001040,00b400000000000029ce,
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0,43400,1,G5040,38.9952919,1041,,10,27517,Block 1041,R,S,-75.4869908,100010434001041,00b40000000000001abc,
0.0,0.0,1.39,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,1.52,0,43100,1,G5040,38.8995657,1041,,10,2955817,Block 1041,R,S,-75.7114091,100010431001041,00b40000000000001b0a,
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.09,0,42900,1,G5040,38.8435286,1041,,10,116921,Block 1041,R,S,-75.5748285,100010429001041,00b40000000000001bdc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0,43000,1,G5040,38.9235394,1041,,10,9546,Block 1041,R,S,-75.5788377,100010430001041,00b40000000000002209,
0.03,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.33,0.0,0.0,0.2,0,42801,1,G5040,38.9859033,1041,,10,2326575,Block 1041,R,S,-75.6454131,100010428011041,00b4000000000000240f,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0,42500,1,G5040,38.9169305,1041,,10,7903,Block 1041,R,S,-75.4250143,100010425001041,00b40000000000002542,
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0,42100,1,G5040,39.0433719,1041,,10,43692,Block 1041,R,S,-75.5571807,100010421001041,00b40000000000002665,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,42802,1,G5040,39.0112649,1041,,10,10047,Block 1041,R,S,-75.5741929,100010428021041,00b4000000000000288d,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,42802,1,G5040,39.0115449,1042,,10,9171,Block 1042,R,S,-75.5753007,100010428021042,00b40000000000001567,
0.0,0.0,1.12,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8200000000000005,0.0,0.0,0.63,0,42801,1,G5040,38.9957512,1042,,10,1819319,Block 1042,R,S,-75.6283501,100010428011042,00b40000000000001cc3,
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.86,0,42100,1,G5040,39.0447575,1042,,10,948881,Block 1042,R,S,-75.619565,100010421001042,00b400000000000026b6,
0.08,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.47,0.01,0.0,0.63,0,42900,1,G5040,38.8528786,1042,,10,1475650,Block 1042,R,S,-75.574286,100010429001042,00b400000000000027c2,
